city,year,pollutant,sector,emissions
Guangzhou,2010,so2,POWER_INDUSTRY,24115.670704483986
Guangzhou,2011,bc,BUILDINGS,2299.5779947936535
Guangzhou,2011,bc,POWER_INDUSTRY,64.5862964913249
Guangzhou,2011,oc,BUILDINGS,10544.202868819237
Guangzhou,2011,pm2_5,BUILDINGS,22211.17471551895
Guangzhou,2011,pm2_5,POWER_INDUSTRY,1385.0363173484802
Guangzhou,2011,pm2_5,TRANSPORT,2277.3876643925905
Guangzhou,2011,so2,POWER_INDUSTRY,24841.368838131428
Guangzhou,2012,bc,BUILDINGS,2178.969750314951
Guangzhou,2012,bc,POWER_INDUSTRY,59.99558389931917
Guangzhou,2012,oc,BUILDINGS,10177.35244166851
Guangzhou,2012,pm2_5,BUILDINGS,21361.253994703293
Guangzhou,2012,pm2_5,POWER_INDUSTRY,1290.1963527202606
Guangzhou,2012,pm2_5,TRANSPORT,2330.5969694554806
Guangzhou,2012,so2,POWER_INDUSTRY,22795.06168961525
Guangzhou,2013,bc,BUILDINGS,2218.25796058774
Guangzhou,2013,bc,POWER_INDUSTRY,59.601005256175995
Guangzhou,2013,oc,BUILDINGS,10614.051091313362
Guangzhou,2013,pm2_5,BUILDINGS,22144.62319087982
Guangzhou,2013,pm2_5,POWER_INDUSTRY,1282.8614430427551
Guangzhou,2013,pm2_5,TRANSPORT,2228.3951557278633
Guangzhou,2013,so2,POWER_INDUSTRY,22122.4948836565
Guangzhou,2014,bc,BUILDINGS,2222.4270339608192
Guangzhou,2014,bc,POWER_INDUSTRY,57.530000641942024
Guangzhou,2014,oc,BUILDINGS,10645.639991283417
Guangzhou,2014,pm2_5,BUILDINGS,22188.824443101883
Guangzhou,2014,pm2_5,POWER_INDUSTRY,1235.9411735534668
Guangzhou,2014,pm2_5,TRANSPORT,4672.045693188906
Guangzhou,2014,so2,POWER_INDUSTRY,20848.192915320396
Guangzhou,2015,bc,BUILDINGS,2167.637797385454
Guangzhou,2015,bc,POWER_INDUSTRY,52.74406784772873
Guangzhou,2015,oc,BUILDINGS,10487.802587270737
Guangzhou,2015,pm2_5,BUILDINGS,21813.265173196793
Guangzhou,2015,pm2_5,POWER_INDUSTRY,1137.0781683921814
Guangzhou,2015,pm2_5,TRANSPORT,4652.493557989597
Guangzhou,2015,so2,POWER_INDUSTRY,18513.4364464283
Shanghai,2010,bc,BUILDINGS,4694.342403329909
Shanghai,2010,bc,POWER_INDUSTRY,46.39037466049194
Shanghai,2010,oc,BUILDINGS,21025.76145130396
Shanghai,2010,pm2_5,BUILDINGS,44492.308656573296
Shanghai,2010,pm2_5,POWER_INDUSTRY,989.8406991958618
Shanghai,2010,pm2_5,TRANSPORT,4695.201875567436
Shanghai,2010,so2,POWER_INDUSTRY,18280.202624320984
Shanghai,2011,bc,BUILDINGS,4463.719638690352
Shanghai,2011,bc,POWER_INDUSTRY,43.03294196724892
Shanghai,2011,oc,BUILDINGS,20385.140752106905
Shanghai,2011,pm2_5,BUILDINGS,43012.95343667269
Shanghai,2011,pm2_5,POWER_INDUSTRY,929.9610662460327
Shanghai,2011,pm2_5,TRANSPORT,4817.088405132294
Shanghai,2011,so2,POWER_INDUSTRY,16230.619303703308
