city,year,pollutant,sector,lat,lon,emissions
Beijing,2010,OC,BUILDINGS,36.35,119.35,88.63716888427734
Beijing,2010,OC,BUILDINGS,36.35,119.45,25.976734161376953
Beijing,2010,OC,BUILDINGS,36.35,119.55,63.86899185180664
Beijing,2010,OC,BUILDINGS,36.35,119.65,43.5921516418457
Beijing,2010,OC,BUILDINGS,36.35,119.75,303.7195129394531
Beijing,2010,OC,BUILDINGS,36.35,119.85,42.28569412231445
Beijing,2010,OC,BUILDINGS,36.35,119.95,87.03491973876953
Beijing,2010,OC,BUILDINGS,36.35,120.05,65.89118194580078
Beijing,2010,OC,BUILDINGS,36.35,120.15,100.7841796875
Beijing,2010,OC,BUILDINGS,36.35,120.25,110.60855102539062
Beijing,2010,OC,BUILDINGS,36.35,120.35,105.57221984863281
Beijing,2010,OC,BUILDINGS,36.35,120.45,436.7920227050781
Beijing,2010,OC,BUILDINGS,36.35,120.55,46.120208740234375
Beijing,2010,OC,BUILDINGS,36.35,120.65,44.551025390625
Beijing,2010,OC,BUILDINGS,36.35,120.75,6.352930068969727
Beijing,2010,OC,BUILDINGS,36.35,120.85,7.80881929397583
Beijing,2010,OC,BUILDINGS,36.35,120.95,0.0
Beijing,2010,OC,BUILDINGS,36.35,121.05,0.0
Beijing,2010,OC,BUILDINGS,36.35,121.15,0.0
Beijing,2010,OC,BUILDINGS,36.35,121.25,0.0
Beijing,2010,OC,BUILDINGS,36.35,121.35,0.0
Beijing,2010,OC,BUILDINGS,36.35,121.45,0.0
Beijing,2010,OC,BUILDINGS,36.45,111.45,11.365381240844727
Beijing,2010,OC,BUILDINGS,36.45,111.55,22.58327865600586
Beijing,2010,OC,BUILDINGS,36.45,111.65,63.08051681518555
Beijing,2010,OC,BUILDINGS,36.45,111.75,45.16244125366211
Beijing,2010,OC,BUILDINGS,36.45,111.85,2.8053622245788574
Beijing,2010,OC,BUILDINGS,36.45,111.95,0.71998530626297
Beijing,2010,OC,BUILDINGS,36.45,112.05,14.886178970336914
Beijing,2010,OC,BUILDINGS,36.45,112.15,7.415950298309326
Beijing,2010,OC,BUILDINGS,36.45,112.25,6.377893447875977
Beijing,2010,OC,BUILDINGS,36.45,112.35,50.317665100097656
Beijing,2010,OC,BUILDINGS,36.45,112.45,2.8252878189086914
