city,year,pollutant,sector,lat,lon,emissions
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.05,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.15,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.25,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.35,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.45,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.55,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.65,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.75,186.37600708007812
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.85,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,119.95,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.05,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.15,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.25,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.35,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.45,186.37600708007812
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.55,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.65,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.75,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.85,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,120.95,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,121.05,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,121.15,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,121.25,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,121.35,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.35,121.45,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,111.45,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,111.55,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,111.65,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,111.75,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,111.85,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,111.95,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.05,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.15,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.25,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.35,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.45,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.55,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.65,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.75,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.85,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,112.95,2609.26416015625
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.05,372.75201416015625
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.15,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.25,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.35,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.45,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.55,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.65,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.75,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.85,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,113.95,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,114.05,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,114.15,8200.5439453125
Beijing,2010,SO2,POWER_INDUSTRY,36.45,114.25,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,114.35,0.0
Beijing,2010,SO2,POWER_INDUSTRY,36.45,114.45,9070.298828125
Beijing,2010,SO2,POWER_INDUSTRY,36.45,114.55,0.0
